,5m-7.5m,7.5m-10m,10m-20m,20m+,prices
2020-09-05 03:00:00,2.0,1.0,1.0,7.0,10408.01
2020-09-05 04:00:00,8.0,2.0,2.0,6.0,10419.14
2020-09-05 05:00:00,3.0,2.0,1.0,1.0,10408.74
2020-09-05 06:00:00,1.0,0.0,2.0,2.0,10478.71
2020-09-05 07:00:00,2.0,1.0,0.0,1.0,10401.73
2020-09-05 08:00:00,8.0,7.0,0.0,12.0,10326.06
2020-09-05 09:00:00,13.0,5.0,1.0,3.0,10291.01
2020-09-05 10:00:00,9.0,4.0,0.0,4.0,10282.52
2020-09-05 11:00:00,5.0,0.0,1.0,6.0,10227.88
2020-09-05 12:00:00,5.0,0.0,0.0,0.0,10005.06
2020-09-05 13:00:00,6.0,2.0,0.0,3.0,10313.27
2020-09-05 14:00:00,7.0,2.0,0.0,7.0,10320.04
2020-09-05 15:00:00,6.0,2.0,1.0,2.0,10275.0
2020-09-05 16:00:00,4.0,1.0,4.0,4.0,10248.83
2020-09-05 17:00:00,2.0,0.0,0.0,3.0,10132.97
2020-09-05 18:00:00,6.0,1.0,1.0,6.0,10162.5
2020-09-05 19:00:00,0.0,0.0,2.0,6.0,9953.12
2020-09-05 20:00:00,1.0,0.0,0.0,4.0,10083.67
2020-09-05 21:00:00,1.0,0.0,1.0,9.0,10087.82
2020-09-05 22:00:00,0.0,0.0,1.0,4.0,9990.01
2020-09-05 23:00:00,0.0,0.0,3.0,2.0,10168.36
2020-09-06 00:00:00,2.0,0.0,0.0,2.0,10218.34
2020-09-06 01:00:00,3.0,1.0,1.0,6.0,10124.37
2020-09-06 02:00:00,2.0,1.0,0.0,4.0,10155.35
2020-09-06 03:00:00,3.0,0.0,0.0,9.0,10167.86
2020-09-06 04:00:00,1.0,0.0,0.0,5.0,10056.32
2020-09-06 05:00:00,5.0,0.0,0.0,7.0,10123.08
2020-09-06 06:00:00,2.0,1.0,0.0,4.0,10161.26
2020-09-06 07:00:00,5.0,0.0,0.0,4.0,10234.95
2020-09-06 08:00:00,3.0,2.0,0.0,2.0,10236.62
2020-09-06 09:00:00,3.0,2.0,0.0,3.0,10214.86
2020-09-06 10:00:00,6.0,0.0,1.0,4.0,10230.86
2020-09-06 11:00:00,2.0,1.0,1.0,2.0,10261.7
2020-09-06 12:00:00,7.0,0.0,0.0,6.0,10249.16
2020-09-06 13:00:00,4.0,2.0,0.0,5.0,10224.29
2020-09-06 14:00:00,5.0,2.0,0.0,4.0,10239.98
2020-09-06 15:00:00,7.0,0.0,0.0,7.0,10178.74
2020-09-06 16:00:00,6.0,2.0,0.0,3.0,10245.42
2020-09-06 17:00:00,7.0,2.0,0.0,6.0,10209.86
2020-09-06 18:00:00,5.0,1.0,0.0,4.0,10245.11
2020-09-06 19:00:00,3.0,1.0,0.0,9.0,10261.49
2020-09-06 20:00:00,3.0,0.0,0.0,5.0,10233.7
2020-09-06 21:00:00,2.0,3.0,2.0,4.0,10324.12
2020-09-06 22:00:00,6.0,0.0,0.0,5.0,10212.0
2020-09-06 23:00:00,4.0,2.0,0.0,0.0,10257.86
2020-09-07 00:00:00,4.0,1.0,0.0,4.0,10284.9
2020-09-07 01:00:00,12.0,4.0,1.0,6.0,10286.0
2020-09-07 02:00:00,6.0,0.0,3.0,1.0,10214.72
2020-09-07 03:00:00,6.0,2.0,0.0,2.0,10204.59
2020-09-07 04:00:00,6.0,1.0,1.0,5.0,10171.8
2020-09-07 05:00:00,5.0,1.0,0.0,5.0,10103.5
2020-09-07 06:00:00,4.0,0.0,1.0,4.0,10083.34
2020-09-07 07:00:00,14.0,1.0,0.0,6.0,10119.47
2020-09-07 08:00:00,12.0,2.0,0.0,5.0,10141.43
2020-09-07 09:00:00,7.0,2.0,1.0,3.0,10120.44
2020-09-07 10:00:00,16.0,1.0,1.0,8.0,10079.28
2020-09-07 11:00:00,12.0,1.0,0.0,3.0,10029.56
2020-09-07 12:00:00,6.0,2.0,2.0,4.0,9951.28
2020-09-07 13:00:00,9.0,0.0,7.0,8.0,10084.55
2020-09-07 14:00:00,8.0,0.0,0.0,6.0,10019.58
2020-09-07 15:00:00,7.0,3.0,3.0,9.0,10146.89
2020-09-07 16:00:00,9.0,4.0,2.0,5.0,10200.36
2020-09-07 17:00:00,5.0,3.0,1.0,11.0,10163.37
2020-09-07 18:00:00,6.0,0.0,0.0,6.0,10169.9
2020-09-07 19:00:00,8.0,1.0,0.0,13.0,10149.83
2020-09-07 20:00:00,11.0,2.0,4.0,6.0,10153.66
2020-09-07 21:00:00,6.0,0.0,2.0,10.0,10156.73
2020-09-07 22:00:00,3.0,2.0,0.0,7.0,10387.47
2020-09-07 23:00:00,7.0,1.0,0.0,5.0,10375.0
2020-09-08 00:00:00,11.0,2.0,0.0,4.0,10324.41
2020-09-08 01:00:00,3.0,1.0,0.0,5.0,10315.22
2020-09-08 02:00:00,6.0,2.0,1.0,6.0,10342.97
2020-09-08 03:00:00,6.0,0.0,2.0,2.0,10310.57
2020-09-08 04:00:00,5.0,2.0,1.0,10.0,10271.99
2020-09-08 05:00:00,10.0,2.0,0.0,6.0,10228.04
2020-09-08 06:00:00,9.0,0.0,1.0,3.0,10307.62
2020-09-08 07:00:00,13.0,0.0,1.0,7.0,10268.78
2020-09-08 08:00:00,17.0,1.0,1.0,1.0,10175.53
2020-09-08 09:00:00,7.0,0.0,1.0,5.0,10018.64
2020-09-08 10:00:00,8.0,2.0,1.0,1.0,10051.06
2020-09-08 11:00:00,7.0,0.0,0.0,3.0,9980.08
2020-09-08 12:00:00,4.0,0.0,0.0,7.0,10010.24
2020-09-08 13:00:00,7.0,3.0,0.0,7.0,9996.59
2020-09-08 14:00:00,8.0,2.0,0.0,3.0,10104.62
2020-09-08 15:00:00,11.0,1.0,1.0,8.0,10101.34
2020-09-08 16:00:00,9.0,2.0,0.0,4.0,10151.37
2020-09-08 17:00:00,9.0,0.0,2.0,4.0,10153.31
2020-09-08 18:00:00,9.0,1.0,0.0,5.0,9984.95
2020-09-08 19:00:00,8.0,0.0,0.0,6.0,9987.32
2020-09-08 20:00:00,7.0,1.0,3.0,3.0,10014.97
2020-09-08 21:00:00,12.0,4.0,1.0,8.0,10030.96
2020-09-08 22:00:00,6.0,0.0,2.0,5.0,10109.79
2020-09-08 23:00:00,8.0,3.0,3.0,4.0,10125.69
2020-09-09 00:00:00,5.0,1.0,0.0,8.0,10116.36
2020-09-09 01:00:00,4.0,1.0,2.0,14.0,10122.03
2020-09-09 02:00:00,5.0,4.0,0.0,7.0,9996.55
2020-09-09 03:00:00,4.0,2.0,0.0,6.0,10027.94
2020-09-09 04:00:00,7.0,0.0,0.0,4.0,10073.61
2020-09-09 05:00:00,6.0,2.0,0.0,7.0,10087.93
2020-09-09 06:00:00,8.0,1.0,2.0,6.0,10098.59
2020-09-09 07:00:00,9.0,2.0,1.0,7.0,10191.44
2020-09-09 08:00:00,8.0,2.0,0.0,6.0,10161.52
2020-09-09 09:00:00,5.0,1.0,0.0,7.0,10197.11
2020-09-09 10:00:00,4.0,0.0,0.0,5.0,10173.74
2020-09-09 11:00:00,11.0,1.0,0.0,6.0,10226.75
