,Volumes(1h),Volumes(>200D),Volumes(<200D),DollarVolumes(1h),DollarVolumes(>200D),DollarVolumes(<200D),prices
2019-07-04,425173.8331105003,26276.507293540017,398897.3258169604,4741503850.146136,293033462.5469123,4448470387.599222,11151.9183
2019-07-05,346393.1526260401,16187.658072650007,330205.4945533901,3809086912.2341604,178006395.44055894,3631080516.793602,10996.4267
2019-07-06,251458.03672422023,2979.0919492,248478.94477502018,2829519815.148973,33522093.03477898,2795997722.1141934,11252.4533
2019-07-07,214599.61364440006,4754.930312539999,209844.68333186008,2462832787.2053866,54569521.704755686,2408263265.5006285,11476.4083
2019-07-08,454320.5689405093,12472.745981339993,441847.82295916945,5585715426.872247,153348129.94687998,5432367296.925369,12294.6567
2019-07-09,437742.0296613304,10140.256932330005,427601.77272900037,5499447233.17167,127394227.9961023,5372053005.17557,12563.215
2019-07-10,627125.7876927904,13968.13093467,613157.6567581199,7586123229.209094,168967637.16570792,7417155592.043384,12096.6533
2019-07-11,532313.7022910401,23943.77494042999,508369.92735061026,6039509738.975911,271660604.1102998,5767849134.865608,11345.7717
2019-07-12,408526.1765814701,13603.886890130003,394922.28969134047,4816252646.482608,160380802.97645855,4655871843.506148,11789.3367
2019-07-13,312980.96897103,4545.960456090002,308435.0085149402,3552530643.763995,51599507.40357607,3500931136.36042,11350.6283
2019-07-14,325502.8845760494,6684.006767779996,318818.8778082695,3318244760.974011,68138168.63217053,3250106592.34184,10194.21
2019-07-15,418517.758060681,8873.303605910012,409644.45445477,4537758577.365218,96208365.76651517,4441550211.598693,10842.4517
2019-07-16,414412.23015715036,15099.107804550003,399313.12235260033,3904779222.54503,142270614.00146547,3762508608.543568,9422.4517
2019-07-17,485977.4267213312,48610.475796139996,437366.95092519023,4710436660.030605,471167084.4394339,4239269575.591163,9692.7067
2019-07-18,525642.5263422589,9789.929715949998,515852.596626309,5591212244.8752365,104134601.29488577,5487077643.580352,10636.91
2019-07-19,500884.1991355402,27607.239884280007,473276.9592512599,5272503276.441498,290604620.777794,4981898655.663701,10526.3917
2019-07-20,258141.52831744938,9979.09021949,248162.43809795944,2776128856.5690646,107318030.15655912,2668810826.412506,10754.29
